price,link,number_of_rooms,area,floor,district,address
130000,https://krisha.kz/a/show/760402765,1,40.0,0,Есильский р-н, Е-15 3
250000,https://krisha.kz/a/show/698600297,3,90.0,6,Сарыарка р-н, Сарыарка 31/2
120000,https://krisha.kz/a/show/698333334,2,30.0,4,Сарыарка р-н, Республика 76 — ЖД Вокзал старый
170000,https://krisha.kz/a/show/682941229,1,36.0,2,Нура р-н,Чингиз Айтматов 60/1
400000,https://krisha.kz/a/show/761561653,4,160.0,18,Есильский р-н, Динмухаммед Кунаев
200000,https://krisha.kz/a/show/693274875,1,40.0,2,Нура р-н, Бектурова — Возле Хан-Шатыра
220000,https://krisha.kz/a/show/762329965,2,44.0,5,Нура р-н, мкр Уркер
240000,https://krisha.kz/a/show/1000221426,2,64.0,3,Нура р-н, Жубан Молдагалиев 5
250000,https://krisha.kz/a/show/1000221317,2,58.0,7,Сарыарка р-н, Айтматова 59
260000,https://krisha.kz/a/show/1000181748,1,40.0,6,Нура р-н, Е-430 3
280000,https://krisha.kz/a/show/1000181473,2,40.0,5,Нура р-н, Е-430 3 — Кургальжинское шоссе/ Айтматова
450000,https://krisha.kz/a/show/1000208696,2,60.0,10,Есильский р-н, Туркестан 14
230000,https://krisha.kz/a/show/1000221115,2,58.0,5,Нура р-н, Туран 57/5 — Туран - Бухар Жырау
160000,https://krisha.kz/a/show/761498867,1,45.0,8,Сарыарка р-н, Бейбарыс Султан 11
200000,https://krisha.kz/a/show/762090969,2,45.0,4,Есильский р-н, Улы Дала 4A
175000,https://krisha.kz/a/show/699253885,1,32.0,9,Алматы р-н, Сатпаева — Майлина
200000,https://krisha.kz/a/show/761441959,2,50.0,4,Есильский р-н, Улы Дала 46 — Е 509 дом 9
180000,https://krisha.kz/a/show/699564443,1,40.0,5,Есильский р-н, Сыганак 2 — Сыганак и І.Омарова
150000,https://krisha.kz/a/show/684553238,1,42.0,10,Есильский р-н, Кабанбай батыра 40
650000,https://krisha.kz/a/show/761593455,3,158.0,4,Есильский р-н, Сыганак 41 — Байтерек. Абудаби плаза
400000,https://krisha.kz/a/show/1000220787,3,135.0,3,Есильский р-н, Мангилик ел — Триумфальная арка
1000000,https://krisha.kz/a/show/682534922,3,130.0,2,Есильский р-н, Табыс 2 — УлыДала
200000,https://krisha.kz/a/show/1000132121,2,65.0,4,Есильский р-н, Сауран 3/1
140000,https://krisha.kz/a/show/1000218920,2,45.0,3,Алматы р-н, Балкантау 86 — Обаган
170000,https://krisha.kz/a/show/1000220547,2,48.0,2,Есильский р-н, Е 511 40 — Микрорайон Жетысу аксу
150000,https://krisha.kz/a/show/762330267,1,35.0,8,Есильский р-н, Керей и  Жанибек хандар 12/1 — Сауран
160000,https://krisha.kz/a/show/1000220292,1,40.0,2,Сарыарка р-н, Бейбарыс Султан
160000,https://krisha.kz/a/show/23092119,1,42.0,3,Есильский р-н, проспект Мангилик Ел 53 — проспект Улы Дала
200000,https://krisha.kz/a/show/29044610,2,40.0,5,Есильский р-н, Акмешит 11 — КерейЖанибек
280000,https://krisha.kz/a/show/1000220269,2,64.3,16,Алматы р-н, Калибек купнышбаев 14
250000,https://krisha.kz/a/show/696284887,1,40.0,3,Есильский р-н, Кабанбай батыра 58б к7 — Район экспо
230000,https://krisha.kz/a/show/678209795,2,60.0,4,Есильский р-н, Сыганак 15/1
400000,https://krisha.kz/a/show/761383577,3,78.0,12,р-н Байконур, Шолпан иманбаева 9
200000,https://krisha.kz/a/show/674229727,1,40.0,16,Есильский р-н, Бектурова 4/6
650000,https://krisha.kz/a/show/761538465,4,150.0,7,Есильский р-н, Кабанбай батыра 34/1
170000,https://krisha.kz/a/show/1000219926,1,43.0,2,Unknown District,Майлина 31
150000,https://krisha.kz/a/show/761146154,1,40.0,4,Есильский р-н, Аль-Фараби 34/4 — Улы Дала
200000,https://krisha.kz/a/show/686870335,1,42.0,3,Нура р-н, Сыганак — Чингиза Айтматова
170000,https://krisha.kz/a/show/761549410,1,41.0,8,Есильский р-н, Кабанбай батыра — Остановка Салтанат сарайы
160000,https://krisha.kz/a/show/760043871,1,35.0,4,Сарайшык р-н, Кордай 99
180000,https://krisha.kz/a/show/1000219650,2,55.0,8,Есильский р-н, Кабанбай батыра — Алматы Сауран
310000,https://krisha.kz/a/show/760301185,2,65.0,4,Есильский р-н, Толе би 59
140000,https://krisha.kz/a/show/762251950,1,40.0,12,Алматы р-н, Кордай 77
260000,https://krisha.kz/a/show/676074612,2,60.0,9,Есильский р-н, Сауран
250000,https://krisha.kz/a/show/760198247,2,55.0,7,Unknown District,Айтеке би 3А
160000,https://krisha.kz/a/show/762115258,1,28.0,10,Алматы р-н, Ахмет Байтурсынулы 18
250000,https://krisha.kz/a/show/693639763,2,54.0,15,Есильский р-н, Хусейн бен Талал 39
90000,https://krisha.kz/a/show/1000219121,1,14.0,1,Алматы р-н, Сатпаева 4/1
180000,https://krisha.kz/a/show/681283850,1,40.0,8,Есильский р-н, Толе би 57 — За Хан-Шатыром
350000,https://krisha.kz/a/show/693951939,3,80.0,13,Алматы р-н, Б.Момышулы 27 — Парк Жеруйык
200000,https://krisha.kz/a/show/760430588,1,45.0,13,Есильский р-н, Мәңгілік Ел 51 — Улы Дала
200000,https://krisha.kz/a/show/695309983,1,37.0,11,Есильский р-н, Туркестан — Ботанический сад
230000,https://krisha.kz/a/show/761377099,1,40.0,0,Есильский р-н, Улица Турар Рыскулов 16/2
170000,https://krisha.kz/a/show/695156283,1,36.0,10,Есильский р-н, Бектурова 4
250000,https://krisha.kz/a/show/762175869,2,60.0,9,Есильский р-н, Улица Алихана Бокейхана 15/1 — Триумфальная арка
180000,https://krisha.kz/a/show/688936441,1,44.0,6,Алматы р-н, Кошкарбаева 13
200000,https://krisha.kz/a/show/686009069,1,42.0,8,Unknown District,Розы Баглановой 3/1
