price,link,number_of_rooms,area,floor,district,address
26400000,https://krisha.kz/a/show/760514087,2,48.1,10,Нура р-н, Айтматова — Мухамедханова
31000000,https://krisha.kz/a/show/699137309,3,70.0,2,Алматы р-н, Кажымукана 16
17800000,https://krisha.kz/a/show/697594913,1,40.4,8,Есильский р-н, Туран 89/3
51000000,https://krisha.kz/a/show/1000167913,2,75.0,4,Есильский р-н, Кабанбай батыра — Рыскулова
25000000,https://krisha.kz/a/show/699116404,1,45.0,9,Есильский р-н, Мангилик Ел 19/2
37800000,https://krisha.kz/a/show/694419730,3,93.0,3,Алматы р-н, Трасса Астана-Караганда 23
85000000,https://krisha.kz/a/show/693188985,4,141.0,15,Сарыарка р-н, Желтоксан 2/3
35461200,https://krisha.kz/a/show/762070327,2,61.14,5,Есильский р-н, Е 915 12
37600000,https://krisha.kz/a/show/697633884,3,85.5,5,Unknown District,Жубан Молдагалиев 3
26839800,https://krisha.kz/a/show/683999324,3,86.58,5,Алматы р-н, трасса Астана-Караганда 4/3
51392095,https://krisha.kz/a/show/683926601,4,120.09,5,Есильский р-н, Казыбек би 41/1
24900000,https://krisha.kz/a/show/762111131,1,41.0,6,Нура р-н, Толе би 25
83000000,https://krisha.kz/a/show/761580620,4,109.5,18,Есильский р-н, Кабанбай батыра 43A
20500000,https://krisha.kz/a/show/761268314,1,44.0,5,Алматы р-н, Бауыржан Момышулы 16 — Ул.Аманат
35000000,https://krisha.kz/a/show/761146182,3,68.5,4,Сарыарка р-н, Сарыарка 28 — Сейфуллина
18669400,https://krisha.kz/a/show/760670212,2,54.91,11,Сарыарка р-н, Бейбарыс Султан б/н
44000000,https://krisha.kz/a/show/699890347,3,110.0,9,Алматы р-н, Шакарим Кудайбердиулы 36/2
50459670,https://krisha.kz/a/show/762069518,4,111.39,5,Нура р-н, Е-15 5
34759160,https://krisha.kz/a/show/761098324,2,50.23,5,Нура р-н, Е-899 7
88147060,https://krisha.kz/a/show/760697985,4,140.81,5,Нура р-н, Е-899 5/1
64498000,https://krisha.kz/a/show/695111447,4,119.0,5,Есильский р-н, Жошы Хан 20
21712500,https://krisha.kz/a/show/675949495,2,57.9,5,Алматы р-н, Шаймерденова 4/3
36138950,https://krisha.kz/a/show/690475647,2,66.31,5,Сарайшык р-н, Ахмет Байтурсынулы 14
67361500,https://krisha.kz/a/show/669387690,3,99.5,5,Есильский р-н, Достык 8/2
23900000,https://krisha.kz/a/show/761695356,1,41.0,8,Есильский р-н, Орынбор 12 — Кабанбай батыр
21700000,https://krisha.kz/a/show/762265506,1,31.0,10,Есильский р-н, орынбор 13
38500000,https://krisha.kz/a/show/761610104,3,71.0,11,Алматы р-н, А.Байтұрсынұлы А75 — Болекпаева
18500000,https://krisha.kz/a/show/761291065,2,43.1,4,Сарайшык р-н, Каршыга Ахмедьярова 2
16000000,https://krisha.kz/a/show/761124584,1,46.0,2,Есильский р-н, Е 523 8 — Е 695
15800000,https://krisha.kz/a/show/760299768,2,44.0,4,Сарыарка р-н, Ауэзова 32/1 — Пр. Богенбая Батыра
18539400,https://krisha.kz/a/show/696687921,2,57.0,12,Алматы р-н, Шамши калдаякова б/н — Улы-Дала
26500000,https://krisha.kz/a/show/761595996,1,42.0,9,Есильский р-н, Улы Дала 27 — проспект Туран
43000000,https://krisha.kz/a/show/760831422,3,110.0,11,Алматы р-н, Кюйши Дины 22 — ТРЦ Евразия
16500000,https://krisha.kz/a/show/760452096,1,38.6,11,Сарыарка р-н, Бейбарыс Султан 25/2
172264840,https://krisha.kz/a/show/688395500,4,175.96,5,Алматы р-н, переулок Тасшокы 4
23000000,https://krisha.kz/a/show/1000215571,2,48.0,1,Алматы р-н, петрова 30/1 — 22 школа
33200000,https://krisha.kz/a/show/762127967,2,55.0,11,Есильский р-н, Толе би 16 — Улы дала- Туран- Толе би
30000000,https://krisha.kz/a/show/761543157,2,54.0,8,Алматы р-н, Нажимеденова 10
