price,link,number_of_rooms,area,floor,district,address
1500000,https://krisha.kz/a/show/699839923,5,500.0,8,Есильский р-н, Сыганак 39/1
1500000,https://krisha.kz/a/show/694929176,3,130.0,7,Есильский р-н, Гейдар Алиева 2
1500000,https://krisha.kz/a/show/699864678,4,230.0,15,Алматы р-н, Байтурсынова 5
1500000,https://krisha.kz/a/show/662126863,5,203.0,29,Алматы р-н, Ахмета Байтурсынова 9 — проспект Тауелсиздик
1500000,https://krisha.kz/a/show/691235683,4,160.0,4,Есильский р-н, Кайым Мухамедханов 1/2
1500000,https://krisha.kz/a/show/699615981,5,210.0,6,Есильский р-н, Достык 13
1500000,https://krisha.kz/a/show/693143689,4,180.0,15,Есильский р-н, Наркескен 3
1500000,https://krisha.kz/a/show/699873232,4,150.0,7,Есильский р-н, Акмешит 19
1500000,https://krisha.kz/a/show/696607307,5,270.0,0,Есильский р-н, Мукагали Макатаева 7/3
1500000,https://krisha.kz/a/show/692976148,4,200.0,19,Есильский р-н, Кабанбай батыра 5/3
1500000,https://krisha.kz/a/show/694588947,3,115.0,8,Есильский р-н, Туран стр. 22
1500000,https://krisha.kz/a/show/688005175,4,180.0,5,Есильский р-н, проспект Туран 22/1
1500000,https://krisha.kz/a/show/698766571,5,215.0,30,Алматы р-н, Байтурсынова 1
1500000,https://krisha.kz/a/show/761557796,5,252.0,5,Есильский р-н, Кунаева 29
1500000,https://krisha.kz/a/show/688840599,5,250.0,3,Есильский р-н, Достык 1А
1500000,https://krisha.kz/a/show/689113975,3,150.0,6,Есильский р-н, Туран 5
1500000,https://krisha.kz/a/show/693531046,5,230.0,10,Есильский р-н, Наркескен 3
1500000,https://krisha.kz/a/show/697773411,3,124.0,14,Есильский р-н, Кайым Мухамедханов 1/2
1500000,https://krisha.kz/a/show/693614436,3,120.0,5,Есильский р-н, Туран 22
1500000,https://krisha.kz/a/show/697772600,4,190.0,8,Есильский р-н, Достык 1/1
1500000,https://krisha.kz/a/show/761226648,5,210.0,3,Есильский р-н, Акмешит 19/8 — EXPO-Ботанический Сад
1500000,https://krisha.kz/a/show/681999273,5,280.0,0,Есильский р-н, проспект Туран 22/1
1500000,https://krisha.kz/a/show/693915103,3,137.0,14,Есильский р-н, Акмешит 9
1500000,https://krisha.kz/a/show/691119230,5,200.0,7,Есильский р-н, Туран
1500000,https://krisha.kz/a/show/762179466,3,130.0,9,Алматы р-н, Кошкарбаева 2
1500000,https://krisha.kz/a/show/696710542,5,250.0,12,Есильский р-н, Наркескен 3 — Кабанбай Батыра
1500000,https://krisha.kz/a/show/698138921,4,191.0,0,Есильский р-н, Кабанбай батыра 56
1500000,https://krisha.kz/a/show/696511441,5,250.0,6,Алматы р-н, Шамши Калдаякова 4
1500000,https://krisha.kz/a/show/690603943,3,140.0,14,Есильский р-н, Наркескен 1
1500000,https://krisha.kz/a/show/698338709,5,240.0,4,Есильский р-н, Сыганак 14/1
1500000,https://krisha.kz/a/show/698305606,5,215.0,21,Алматы р-н, Байтурсынова 9
1500000,https://krisha.kz/a/show/697891550,3,116.0,0,Есильский р-н, Наркескен 1
1500000,https://krisha.kz/a/show/693211703,5,200.0,0,Алматы р-н, Шамши Калдаякова 6
1500000,https://krisha.kz/a/show/685345887,4,200.0,15,Есильский р-н, мкр Комсомольский
1500000,https://krisha.kz/a/show/761545749,3,110.0,10,Нура р-н, Кайым Мухамедханов 1
1500000,https://krisha.kz/a/show/698275851,4,149.0,3,Алматы р-н, Касым Аманжолов 20
1500000,https://krisha.kz/a/show/697776832,4,203.0,21,Алматы р-н, Байтурсынова 9
1500000,https://krisha.kz/a/show/692135867,3,100.0,6,Есильский р-н, Туран стр. 22
1500000,https://krisha.kz/a/show/694627172,5,219.0,9,Есильский р-н, Туран 3
1500000,https://krisha.kz/a/show/697930890,5,180.0,7,Алматы р-н, Шамши Калдаяков 8
1500000,https://krisha.kz/a/show/698307559,5,270.0,3,Есильский р-н, Мукагали Макатаева 7/3 — Набережная
1500000,https://krisha.kz/a/show/761545163,5,180.0,10,Есильский р-н, Кайым Мухамедханова 11
1500000,https://krisha.kz/a/show/698986385,4,140.0,0,Есильский р-н, Наркескен 3
1500000,https://krisha.kz/a/show/698874930,4,200.0,6,Алматы р-н, Шарля де Голля 5
1500000,https://krisha.kz/a/show/692891003,3,132.0,6,Есильский р-н, Туран стр. 22
1500000,https://krisha.kz/a/show/761971010,4,140.0,13,Есильский р-н, Акмешит 1
1500000,https://krisha.kz/a/show/696479714,4,140.0,5,Есильский р-н, Наркескен 1/1
1500000,https://krisha.kz/a/show/693761589,3,190.0,4,Есильский р-н, Достык 1А
1500000,https://krisha.kz/a/show/687832207,4,200.0,0,Есильский р-н, Тоқпанов 33
1500000,https://krisha.kz/a/show/698293478,3,124.0,12,Есильский р-н, Кайым Мухамедханов 1/1
1500000,https://krisha.kz/a/show/697950866,3,120.0,8,Есильский р-н, Акмешит 19
1500000,https://krisha.kz/a/show/692152280,3,140.0,5,Есильский р-н, Туран 22
1500000,https://krisha.kz/a/show/697930313,5,215.0,28,Алматы р-н, Байтурсынова 9
1500000,https://krisha.kz/a/show/687151797,5,260.0,8,Есильский р-н, Достык 1А — Казак радиосы
1500000,https://krisha.kz/a/show/697774205,4,164.0,14,Есильский р-н, Акмешит 9
1500000,https://krisha.kz/a/show/760020806,7,250.0,3,Сарыарка р-н, Республики 3/2
1500000,https://krisha.kz/a/show/692325322,4,150.0,4,Есильский р-н, Туран 5
1500000,https://krisha.kz/a/show/699108470,4,167.0,18,Алматы р-н, Байтурсынова 1
1500000,https://krisha.kz/a/show/695262433,4,165.0,7,Есильский р-н, Акмешит 19
1500000,https://krisha.kz/a/show/697574702,4,165.0,4,Есильский р-н, Сарайшык — Сарайшык
1500000,https://krisha.kz/a/show/665247689,5,205.0,9,Алматы р-н, Байтурсынова 9блокF3 — проспект Тауелсиздик
1500000,https://krisha.kz/a/show/1000133822,3,214.5,2,Есильский р-н, Умай ана
1500000,https://krisha.kz/a/show/662127108,6,310.0,8,Алматы р-н, Ахмета Байтурсынова 5 — проспект Тауелсиздик
1500000,https://krisha.kz/a/show/698319459,5,210.0,6,Алматы р-н, Шамши Калдаякова 6
1500000,https://krisha.kz/a/show/693615037,3,106.0,8,Есильский р-н, Туран стр. 22
1500000,https://krisha.kz/a/show/699553946,5,247.0,3,Есильский р-н, Шарля де Голля 7
1500000,https://krisha.kz/a/show/697634862,3,150.0,10,Есильский р-н, Бухар жырау 28
1500000,https://krisha.kz/a/show/696983569,4,132.0,7,Нура р-н, КайымМухамедханов 1
1500000,https://krisha.kz/a/show/761931594,4,163.0,0,Алматы р-н, Байтурсынова 1 — Инвиктус
1500000,https://krisha.kz/a/show/697880680,4,121.0,7,Алматы р-н, Тыныбаев 18
1500000,https://krisha.kz/a/show/760749382,3,118.0,8,Есильский р-н, Туран стр. 22
1500000,https://krisha.kz/a/show/693148112,4,175.0,21,Есильский р-н, Байтурсынова 9
1500000,https://krisha.kz/a/show/693904339,5,260.0,3,Есильский р-н, Мукагали Макатаева 7/3
1500000,https://krisha.kz/a/show/692902592,4,140.0,3,Алматы р-н, Калдаякова 8 — Тауелсыздык
