price,link,number_of_rooms,area,floor,district,address
140000000,https://krisha.kz/a/show/683793513,3,109.0,2,Есильский р-н, Керей-Жанибек хандар 50
140000000,https://krisha.kz/a/show/761278333,5,250.0,5,Сарыарка р-н, Шыганак 3 — Шевченко
140000000,https://krisha.kz/a/show/761685998,9,461.0,18,Алматы р-н, Кенесары 51
140000000,https://krisha.kz/a/show/760975374,4,147.1,4,Алматы р-н, Шамши Калдаякова 4 — Президентский парк
140000000,https://krisha.kz/a/show/760547441,3,148.0,7,Есильский р-н, Туран 3/1
140000000,https://krisha.kz/a/show/762005476,4,150.0,3,Есильский р-н, Бухар жырау 26
140000000,https://krisha.kz/a/show/761685998,9,461.0,18,Алматы р-н, Кенесары 51
140000000,https://krisha.kz/a/show/760975374,4,147.1,4,Алматы р-н, Шамши Калдаякова 4 — Президентский парк
140000000,https://krisha.kz/a/show/1000144639,3,148.0,7,Есильский р-н, Туран 3/1
140000000,https://krisha.kz/a/show/698069617,4,141.1,2,Есильский р-н, Умай Ана 15
140000000,https://krisha.kz/a/show/761767213,4,130.0,6,Алматы р-н, Амман 4 — Шарль де голя
140000000,https://krisha.kz/a/show/762242058,4,150.0,2,Есильский р-н, Кабанбай Батыра 13
140000000,https://krisha.kz/a/show/692471271,4,162.7,5,Алматы р-н, Ахмета Байтурсынова 9
140000000,https://krisha.kz/a/show/699468002,5,187.0,13,Алматы р-н, Кошкарбаева 2 — Happy
140000000,https://krisha.kz/a/show/760683077,4,147.1,4,Алматы р-н, Шамши Калдаякова
140000000,https://krisha.kz/a/show/698019540,4,151.0,3,Есильский р-н, Бухар жырау 26
140000000,https://krisha.kz/a/show/760880551,4,130.0,12,Есильский р-н, Наркескен 1/1 — Наркескен 1/1
139999999,https://krisha.kz/a/show/699356012,4,141.0,6,Есильский р-н, ЕК-32 2 — ЕК-15
139999999,https://krisha.kz/a/show/761046564,4,150.0,3,Алматы р-н, Шамши Калдаякова 4
139900000,https://krisha.kz/a/show/698748228,4,140.0,2,Алматы р-н, Шамши Калдаяков 8
139576850,https://krisha.kz/a/show/761559455,5,184.87,7,Есильский р-н, Е-899 3 — Гостиная с витражным эркером
138800000,https://krisha.kz/a/show/761689010,4,155.0,2,Есильский р-н, Бухар жырау 26
138000000,https://krisha.kz/a/show/762202338,4,114.3,5,Нура р-н, Туран 39а
138000000,https://krisha.kz/a/show/762202338,4,114.3,5,Нура р-н, Туран 39а
138000000,https://krisha.kz/a/show/760380568,3,125.0,5,Алматы р-н, Асқар Тоқпанова 8/2
138000000,https://krisha.kz/a/show/1000204637,4,165.0,3,Есильский р-н, Табыс
138000000,https://krisha.kz/a/show/694506329,4,134.0,5,Алматы р-н, Калдаякова 8 — Тауелсыздык
138000000,https://krisha.kz/a/show/694379142,6,250.0,3,Сарыарка р-н, М.Ауэзова — Ауэзова - Московская
137283000,https://krisha.kz/a/show/682514423,3,220.5,2,Есильский р-н, мкр Комсомольский
137000000,https://krisha.kz/a/show/761343346,5,339.8,3,Сарыарка р-н, Сейфуллина 34А
137000000,https://krisha.kz/a/show/698738652,4,173.52,2,Есильский р-н, Бухар жырау 26 — Видовая
137000000,https://krisha.kz/a/show/762199061,4,164.14,5,Есильский р-н, Турар Рыскулов 3
136000000,https://krisha.kz/a/show/692470522,3,115.0,15,Есильский р-н, Бухар Жырау 28а — Горячка Ботанический
135000000,https://krisha.kz/a/show/695583522,4,115.0,6,Нура р-н, Туран 39а
135000000,https://krisha.kz/a/show/761657490,3,135.0,5,Есильский р-н, Акмешит 19
135000000,https://krisha.kz/a/show/1000128288,4,123.0,6,Есильский р-н, Турар Рыскулов 1
135000000,https://krisha.kz/a/show/761529449,5,161.0,4,Есильский р-н, Керей Жанибек хандары 2 — Туран
135000000,https://krisha.kz/a/show/760336284,4,185.0,5,Сарыарка р-н, Азербайжан Мамбетов 10
135000000,https://krisha.kz/a/show/762192139,3,113.0,8,Есильский р-н, Сарайшык 2 — Кунаева
135000000,https://krisha.kz/a/show/761971223,3,110.0,8,Есильский р-н, Наркескен 3
135000000,https://krisha.kz/a/show/696507268,5,147.0,6,Нура р-н, Кабанбай батыра 29/2 — Омирзакова
135000000,https://krisha.kz/a/show/696466281,4,139.0,2,Есильский р-н, Бокейхана 24 — БИЗНЕС КЛАСС
135000000,https://krisha.kz/a/show/761852114,4,121.1,5,Есильский р-н, Сыганак 17
135000000,https://krisha.kz/a/show/1000180315,3,110.0,8,Есильский р-н, Наркескен 1
135000000,https://krisha.kz/a/show/760069007,4,122.4,6,Есильский р-н, Турар Рыскулов 1
135000000,https://krisha.kz/a/show/685364088,5,178.8,2,Есильский р-н, мкр Шубар
135000000,https://krisha.kz/a/show/762167843,4,121.0,15,Есильский р-н, Турар Рыскулов 1
135000000,https://krisha.kz/a/show/762262200,3,99.0,3,Есильский р-н, Мангилик Ел 4 — №496
135000000,https://krisha.kz/a/show/760069007,4,122.4,6,Есильский р-н, Турар Рыскулов 1
135000000,https://krisha.kz/a/show/1000195558,4,96.0,2,Есильский р-н, Мангилик Ел 47
135000000,https://krisha.kz/a/show/762335125,4,130.0,6,Есильский р-н, Кабанбай батыр 56 — Улы дала Ботанический сад
135000000,https://krisha.kz/a/show/761982671,3,110.0,8,Есильский р-н, Наркескен 1
135000000,https://krisha.kz/a/show/760993272,4,121.0,15,Есильский р-н, Турар Рыскулов 1
134000000,https://krisha.kz/a/show/760024206,5,175.0,12,Нура р-н, Туран 39
134000000,https://krisha.kz/a/show/761832106,5,186.0,9,Есильский р-н, Турар Рыскулов 3
133900000,https://krisha.kz/a/show/761789898,3,108.0,9,Есильский р-н, Акмешит 1
133000000,https://krisha.kz/a/show/761723240,4,163.0,8,Есильский р-н, Аль-Фараби 9/1
133000000,https://krisha.kz/a/show/1000192065,3,128.0,10,Есильский р-н, Бухар Жырау 28 — СРОЧНАЯ ПРОДАЖА ГОРЯЧКА
133000000,https://krisha.kz/a/show/761268691,3,167.0,6,Есильский р-н, Акмешит 19
132900000,https://krisha.kz/a/show/699960808,3,113.0,5,Есильский р-н, Бухар Жырау
132090000,https://krisha.kz/a/show/690129723,5,188.7,5,Нура р-н, Туран 71
132000000,https://krisha.kz/a/show/1000202869,4,203.0,4,Есильский р-н, Акмешит 19
132000000,https://krisha.kz/a/show/761505808,4,130.0,13,Есильский р-н, Наркескен 1/1
132000000,https://krisha.kz/a/show/1000202717,4,203.5,4,Есильский р-н, Акмешит
