,Title,Price,Location,Link
0,1-комнатная квартира · 40 м² · помесячно,130 000〒,"Есильский р-н, Е-15 3",https://krisha.kz/a/show/760402765
1,3-комнатная квартира · 90 м² · 6/12 этаж · помесячно,250 000〒,"Сарыарка р-н, Сарыарка 31/2",https://krisha.kz/a/show/698600297
2,2-комнатная квартира · 30 м² · 4/5 этаж · помесячно,120 000〒,"Сарыарка р-н, Республика 76 — ЖД Вокзал старый",https://krisha.kz/a/show/698333334
3,1-комнатная квартира · 36 м² · 2/12 этаж · помесячно,170 000〒,Чингиз Айтматов 60/1,https://krisha.kz/a/show/682941229
4,4-комнатная квартира · 160 м² · 18/26 этаж · помесячно,400 000〒,"Есильский р-н, Динмухаммед Кунаев",https://krisha.kz/a/show/761561653
5,1-комнатная квартира · 40 м² · 2/10 этаж · помесячно,200 000〒,"Нура р-н, Бектурова — Возле Хан-Шатыра",https://krisha.kz/a/show/693274875
6,2-комнатная квартира · 44 м² · 5/16 этаж · помесячно,220 000〒,"Нура р-н, мкр Уркер, Култегин 17",https://krisha.kz/a/show/762329965
7,2-комнатная квартира · 64 м² · 3/12 этаж · помесячно,240 000〒,"Нура р-н, Жубан Молдагалиев 5",https://krisha.kz/a/show/1000221426
8,2-комнатная квартира · 58 м² · 7 этаж · помесячно,250 000〒,"Сарыарка р-н, Айтматова 59",https://krisha.kz/a/show/1000221317
9,1-комнатная квартира · 40 м² · 6/13 этаж · помесячно,260 000〒,"Нура р-н, Е-430 3",https://krisha.kz/a/show/1000181748
10,2-комнатная квартира · 40 м² · 5/13 этаж · помесячно,280 000〒,"Нура р-н, Е-430 3 — Кургальжинское шоссе/ Айтматова",https://krisha.kz/a/show/1000181473
11,2-комнатная квартира · 60 м² · 10/14 этаж · помесячно,450 000〒,"Есильский р-н, Туркестан 14",https://krisha.kz/a/show/1000208696
12,2-комнатная квартира · 58 м² · 5/9 этаж · помесячно,230 000〒,"Нура р-н, Туран 57/5 — Туран - Бухар Жырау",https://krisha.kz/a/show/1000221115
13,1-комнатная квартира · 45 м² · 8/9 этаж · помесячно,160 000〒,"Сарыарка р-н, Бейбарыс Султан 11",https://krisha.kz/a/show/761498867
14,2-комнатная квартира · 45 м² · 4/9 этаж · помесячно,200 000〒,"Есильский р-н, Улы Дала 4A",https://krisha.kz/a/show/762090969
15,1-комнатная квартира · 32 м² · 9/10 этаж · помесячно,175 000〒,"Алматы р-н, Сатпаева — Майлина",https://krisha.kz/a/show/699253885
16,2-комнатная квартира · 50 м² · 4/9 этаж · помесячно,200 000〒,"Есильский р-н, Улы Дала 46 — Е 509 дом 9",https://krisha.kz/a/show/761441959
17,1-комнатная квартира · 40 м² · 5/12 этаж · помесячно,180 000〒,"Есильский р-н, Сыганак 2 — Сыганак и І.Омарова",https://krisha.kz/a/show/699564443
18,1-комнатная квартира · 42 м² · 10/14 этаж · помесячно,150 000〒,"Есильский р-н, Кабанбай батыра 40",https://krisha.kz/a/show/684553238
19,3-комнатная квартира · 158 м² · 4/9 этаж · помесячно,650 000〒,"Есильский р-н, Сыганак 41 — Байтерек. Абудаби плаза",https://krisha.kz/a/show/761593455
