,Title,Price,Location,Link
0,2-комнатная квартира · 48.1 м² · 10/10 этаж,26 400 000〒,"Нура р-н, Айтматова — Мухамедханова",https://krisha.kz/a/show/760514087
1,3-комнатная квартира · 70 м² · 2/6 этаж,31 000 000〒,"Алматы р-н, Кажымукана 16",https://krisha.kz/a/show/699137309
2,1-комнатная квартира · 40.4 м² · 8/9 этаж,17 800 000〒,"Есильский р-н, Туран 89/3",https://krisha.kz/a/show/697594913
3,2-комнатная квартира · 75 м² · 4 этаж,51 000 000〒,"Есильский р-н, Кабанбай батыра — Рыскулова",https://krisha.kz/a/show/1000167913
4,1-комнатная квартира · 45 м² · 9/9 этаж,25 000 000〒,"Есильский р-н, Мангилик Ел 19/2",https://krisha.kz/a/show/699116404
5,3-комнатная квартира · 93 м² · 3/9 этаж,37 800 000〒,"Алматы р-н, Трасса Астана-Караганда 23",https://krisha.kz/a/show/694419730
6,4-комнатная квартира · 141 м² · 15/38 этаж,85 000 000〒,"Сарыарка р-н, Желтоксан 2/3",https://krisha.kz/a/show/693188985
7,2-комнатная квартира · 61.14 м²,от 35 461 200〒,"Есильский р-н, Е 915 12",https://krisha.kz/a/show/762070327
8,3-комнатная квартира · 85.5 м²,от 37 600 000〒,Жубан Молдагалиев 3,https://krisha.kz/a/show/697633884
9,3-комнатная квартира · 86.58 м²,от 26 839 800〒,"Алматы р-н, трасса Астана-Караганда 4/3",https://krisha.kz/a/show/683999324
10,4-комнатная квартира · 120.09 м²,от 51 392 095〒,"Есильский р-н, Казыбек би 41/1",https://krisha.kz/a/show/683926601
11,1-комнатная квартира · 41 м² · 6/9 этаж,24 900 000〒,"Нура р-н, Толе би 25, 25А, 14, 14/1, 12, 12/2, 12/1",https://krisha.kz/a/show/762111131
12,4-комнатная квартира · 109.5 м² · 18/20 этаж,83 000 000〒,"Есильский р-н, Кабанбай батыра 43A",https://krisha.kz/a/show/761580620
13,1-комнатная квартира · 44 м² · 5/14 этаж,20 500 000〒,"Алматы р-н, Бауыржан Момышулы 16 — Ул.Аманат",https://krisha.kz/a/show/761268314
14,3-комнатная квартира · 68.5 м² · 4/5 этаж,35 000 000〒,"Сарыарка р-н, Сарыарка 28 — Сейфуллина",https://krisha.kz/a/show/761146182
15,2-комнатная квартира · 54.91 м² · 11/12 этаж,18 669 400〒,"Сарыарка р-н, Бейбарыс Султан б/н",https://krisha.kz/a/show/760670212
16,3-комнатная квартира · 110 м² · 9/13 этаж,44 000 000〒,"Алматы р-н, Шакарим Кудайбердиулы 36/2",https://krisha.kz/a/show/699890347
17,4-комнатная квартира · 111.39 м²,от 50 459 670〒,"Нура р-н, Е-15 5",https://krisha.kz/a/show/762069518
18,2-комнатная квартира · 50.23 м²,от 34 759 160〒,"Нура р-н, Е-899 7",https://krisha.kz/a/show/761098324
19,4-комнатная квартира · 140.81 м²,от 88 147 060〒,"Нура р-н, Е-899 5/1",https://krisha.kz/a/show/760697985
20,4-комнатная квартира · 119 м²,от 64 498 000〒,"Есильский р-н, Жошы Хан 20",https://krisha.kz/a/show/695111447
21,2-комнатная квартира · 57.9 м²,от 21 712 500〒,"Алматы р-н, Шаймерденова 4/3",https://krisha.kz/a/show/675949495
22,2-комнатная квартира · 66.31 м²,от 36 138 950〒,"Сарайшык р-н, Ахмет Байтурсынулы 14",https://krisha.kz/a/show/690475647
23,3-комнатная квартира · 99.5 м²,от 67 361 500〒,"Есильский р-н, Достык 8/2",https://krisha.kz/a/show/669387690
24,1-комнатная квартира · 41 м² · 8/11 этаж,23 900 000〒,"Есильский р-н, Орынбор 12 — Кабанбай батыр",https://krisha.kz/a/show/761695356
25,1-комнатная квартира · 31 м² · 10/10 этаж,21 700 000〒,"Есильский р-н, орынбор 13",https://krisha.kz/a/show/762265506
26,3-комнатная квартира · 71 м² · 11/14 этаж,38 500 000〒,"Алматы р-н, А.Байтұрсынұлы А75 — Болекпаева",https://krisha.kz/a/show/761610104
27,2-комнатная квартира · 43.1 м² · 4/12 этаж,18 500 000〒,"Сарайшык р-н, Каршыга Ахмедьярова 2",https://krisha.kz/a/show/761291065
28,1-комнатная квартира · 46 м² · 2/5 этаж,16 000 000〒,"Есильский р-н, Е 523 8 — Е 695",https://krisha.kz/a/show/761124584
29,2-комнатная квартира · 44 м² · 4/5 этаж,15 800 000〒,"Сарыарка р-н, Ауэзова 32/1 — Пр. Богенбая Батыра",https://krisha.kz/a/show/760299768
30,2-комнатная квартира · 57 м² · 12/12 этаж,18 539 400〒,"Алматы р-н, Шамши калдаякова б/н — Улы-Дала",https://krisha.kz/a/show/696687921
31,1-комнатная квартира · 42 м² · 9/17 этаж,26 500 000〒,"Есильский р-н, Улы Дала 27 — проспект Туран, Эллингтон Молл",https://krisha.kz/a/show/761595996
32,3-комнатная квартира · 110 м² · 11/17 этаж,43 000 000〒,"Алматы р-н, Кюйши Дины 22 — ТРЦ Евразия",https://krisha.kz/a/show/760831422
33,1-комнатная квартира · 38.6 м² · 11/12 этаж,16 500 000〒,"Сарыарка р-н, Бейбарыс Султан 25/2",https://krisha.kz/a/show/760452096
34,4-комнатная квартира · 175.96 м²,от 172 264 840〒,"Алматы р-н, переулок Тасшокы 4",https://krisha.kz/a/show/688395500
35,2-комнатная квартира · 48 м² · 1/5 этаж,23 000 000〒,"Алматы р-н, петрова 30/1 — 22 школа",https://krisha.kz/a/show/1000215571
36,2-комнатная квартира · 55 м² · 11/17 этаж,33 200 000〒,"Есильский р-н, Толе би 16 — Улы дала- Туран- Толе би",https://krisha.kz/a/show/762127967
37,2-комнатная квартира · 54 м² · 8/22 этаж,30 000 000〒,"Алматы р-н, Нажимеденова 10",https://krisha.kz/a/show/761543157
38,3-комнатная квартира · 69 м² · 8/9 этаж,28 600 000〒,қордай 99,https://krisha.kz/a/show/1000213398
39,1-комнатная квартира · 40 м² · 7/12 этаж,24 400 000〒,"Есильский р-н, Улы дала 86 — Аль-Фараби",https://krisha.kz/a/show/760714202
40,2-комнатная квартира · 76.4 м² · 9/9 этаж,30 000 000〒,"Сарыарка р-н, Сейфуллина 3 — 60 школа лицей",https://krisha.kz/a/show/760344841
41,1-комнатная квартира · 50 м² · 6/9 этаж,28 500 000〒,"Нура р-н, Кайым Мухамедханов 21/2 — Коргалжинское шоссе",https://krisha.kz/a/show/699865026
42,2-комнатная квартира · 59 м² · 8/9 этаж,36 700 000〒,"Есильский р-н, Керей-Жанибек хандар 44/2",https://krisha.kz/a/show/699474754
43,2-комнатная квартира · 72 м² · 9/12 этаж,59 700 000〒,"Есильский р-н, Мухамедханова 4/1 — БИЗНЕС КЛАСС",https://krisha.kz/a/show/699296885
44,3-комнатная квартира · 108 м² · 14/16 этаж,41 000 000〒,"р-н Байконур, Кенесары 65 — Пересечение Кенесары-Валиханова",https://krisha.kz/a/show/698604997
45,2-комнатная квартира · 54.3 м² · 10/10 этаж,22 500 000〒,"Алматы р-н, Кошкарбаева 27 — Нурмагамбетова Кошкарбаева",https://krisha.kz/a/show/698486525
46,4-комнатная квартира · 121.68 м²,от 62 665 200〒,"Есильский р-н, Е 496 7",https://krisha.kz/a/show/696724507
47,4-комнатная квартира · 114.56 м²,от 51 781 120〒,"Есильский р-н, Е-321 6/2",https://krisha.kz/a/show/761717061
48,2-комнатная квартира · 69.61 м²,от 29 236 200〒,"Нура р-н, Култегин 17",https://krisha.kz/a/show/677885334
49,1-комнатная квартира · 38 м² · 8/10 этаж,23 500 000〒,"Есильский р-н, Аккум 22",https://krisha.kz/a/show/761377160
50,2-комнатная квартира · 51 м² · 12/12 этаж,27 000 000〒,"Алматы р-н, Тауелсиздик 40/1 — ГОРЯЧАЯ ЦЕНА",https://krisha.kz/a/show/761915637
51,2-комнатная квартира · 67.2 м² · 5/20 этаж,36 000 000〒,"Есильский р-н, Ш. Айтматова 53 — Шоссе Коргалжын",https://krisha.kz/a/show/761851241
52,3-комнатная квартира · 93 м² · 9/12 этаж,73 000 000〒,"Есильский р-н, Туран 52/5, 52/6, 52/7 — Туран- Бухар жырау",https://krisha.kz/a/show/761773439
53,2-комнатная квартира · 68.3 м² · 6/9 этаж,26 000 000〒,"р-н Байконур, Сембинова",https://krisha.kz/a/show/761770012
54,4-комнатная квартира · 127.2 м² · 9/12 этаж,68 000 000〒,"Сарыарка р-н, Сарыарка 3",https://krisha.kz/a/show/761415401
55,3-комнатная квартира · 95 м² · 12/12 этаж,44 000 000〒,"Есильский р-н, Сауран 3/1 — Пересечение с Сыганак",https://krisha.kz/a/show/760022246
56,2-комнатная квартира · 56.18 м² · 12/12 этаж,18 539 000〒,"Сарайшык р-н, Каршыга Ахмедьярова 2",https://krisha.kz/a/show/698426984
57,3-комнатная квартира · 85.2 м² · 4/12 этаж,55 500 000〒,"Нура р-н, Толе би 25/1 — Толеби-ТУРАН- Улы дала",https://krisha.kz/a/show/696747379
58,3-комнатная квартира · 89.81 м²,от 35 924 000〒,"Есильский р-н, Е-779 32",https://krisha.kz/a/show/694508586
59,1-комнатная квартира · 36.5 м² · 4/9 этаж,20 000 000〒,"Нура р-н, Казыбек би 7/1 — Binom школа",https://krisha.kz/a/show/1000153130
60,1-комнатная квартира · 36.95 м² · 5/7 этаж,24 000 000〒,"Есильский р-н, Бектурова 4 — Выгодное предложение",https://krisha.kz/a/show/761252246
61,2-комнатная квартира · 60 м² · 9/12 этаж,37 000 000〒,"Есильский р-н, Сыганак 54/1 — Возле абудаби плаза",https://krisha.kz/a/show/760988492
62,3-комнатная квартира · 106.9 м² · 12/21 этаж,63 000 000〒,"Нура р-н, Кабанбай батыра 29",https://krisha.kz/a/show/698939897
63,3-комнатная квартира · 85 м² · 4/13 этаж,34 000 000〒,"Сарыарка р-н, Женис 72 — Ильяса Есенберлина, рядом номер 4-я поликлиника, колледж технологии и бизнеса",https://krisha.kz/a/show/696350391
64,2-комнатная квартира · 65 м² · 5/17 этаж,36 000 000〒,"Есильский р-н, Туран 83/1",https://krisha.kz/a/show/691585349
65,2-комнатная квартира · 72.08 м²,от 37 553 680〒,"Есильский р-н, Жошы Хан 20",https://krisha.kz/a/show/695111439
66,1-комнатная квартира · 42.97 м²,от 15 039 500〒,"Есильский р-н, Е-779 32/1",https://krisha.kz/a/show/762170353
67,2-комнатная квартира · 80 м² · 4/9 этаж,70 000 000〒,"Есильский р-н, Керей жанибек 50/1",https://krisha.kz/a/show/761349895
68,2-комнатная квартира · 67.2 м² · 21/36 этаж,33 000 000〒,"Есильский р-н, Достык 5",https://krisha.kz/a/show/762214648
69,2-комнатная квартира · 50 м² · 2/5 этаж,24 000 000〒,"Алматы р-н, Абылай хан 11/3 27",https://krisha.kz/a/show/761478863
70,4-комнатная квартира · 130 м² · 7/14 этаж,86 000 000〒,"Есильский р-н, Мангилик Ел 26А — Триумфальная Арка",https://krisha.kz/a/show/761312682
71,3-комнатная квартира · 90 м² · 12/12 этаж,55 000 000〒,"Есильский р-н, Казыбек би — Казыбек Би",https://krisha.kz/a/show/760266531
72,2-комнатная квартира · 68.3 м² · 2/13 этаж,32 000 000〒,"Алматы р-н, Тауелсиздик 34/9",https://krisha.kz/a/show/760205144
73,1-комнатная квартира · 49 м² · 8 этаж,21 200 000〒,"Есильский р-н, Е430 2А",https://krisha.kz/a/show/699796213
74,3-комнатная квартира · 81.3 м² · 8/9 этаж,36 000 000〒,"р-н Байконур, Улица Александр Бараев 25",https://krisha.kz/a/show/698324608
75,3-комнатная квартира · 63 м² · 9/9 этаж,25 900 000〒,"Алматы р-н, Жумекена Нажимеденова 19",https://krisha.kz/a/show/685982115
76,2-комнатная квартира · 62 м² · 5 этаж,27 500 000〒,"Сарайшык р-н, А-62 1/2",https://krisha.kz/a/show/761302675
77,1-комнатная квартира · 35.48 м²,от 14 546 800〒,"Сарайшык р-н, Мухамеджан Тынышбайулы 10",https://krisha.kz/a/show/760964455
78,3-комнатная квартира · 102.59 м²,от 56 629 680〒,"Нура р-н, Туран 57/6",https://krisha.kz/a/show/761883391
79,4-комнатная квартира · 135.87 м²,от 101 223 150〒,"Нура р-н, Бухар жырау 20",https://krisha.kz/a/show/697909174
